ticket_id,subject,description,category,priority,department,resolution_type,resolution,resolved_in_steps,confidence_score,feedback,was_escalated,is_repeated_issue,is_ambiguous,source
HW-G-0001,Computer running extremely slow,"Hi team, my desktop has been very slow for the past two days. Opening any application takes several minutes and even typing is laggy.",Hardware & Infrastructure,Low,Marketing,step_by_step,Step 1: Open Task Manager and check for high CPU or memory usage. Step 2: Restart the computer. Step 3: Run disk cleanup to free up space. Step 4: Check if antivirus is running a full scan and pause it temporarily. Step 5: If issue persists IT will assess RAM and storage health.,5,0.85,satisfied,False,True,False,general
HW-G-0002,New laptop setup required,"Hi, I received a new laptop but it has not been set up yet. It needs company software installed and connected to the domain.",Hardware & Infrastructure,Low,Finance,information,"Raise a new device onboarding request through the IT portal. The setup team will schedule a session within 24 hours to configure the device, install required software, and join it to the company domain.",1,0.82,satisfied,False,False,False,general
HW-G-0003,New laptop setup required,I have been dealing with this for days. I received a new laptop but it has not been set up yet. It needs company software installed and connected to the domain.,Hardware & Infrastructure,Medium,IT,information,"Raise a new device onboarding request through the IT portal. The setup team will schedule a session within 24 hours to configure the device, install required software, and join it to the company domain.",1,0.85,satisfied,False,False,False,general
HW-G-0004,Printer not printing,Urgent - The office printer is not printing. I sent a document 20 minutes ago and it is stuck in the queue. Other colleagues are also affected.,Hardware & Infrastructure,Medium,Marketing,step_by_step,Step 1: Open print queue and cancel all pending jobs. Step 2: Restart the printer. Step 3: Restart the print spooler service on your computer. Step 4: Reinstall the printer driver if the issue continues.,4,0.85,satisfied,False,True,False,general
HW-G-0005,Projector not connecting to laptop,This is really frustrating. I have a presentation in 30 minutes and the conference room projector will not connect to my laptop via HDMI.,Hardware & Infrastructure,High,HR,quick_fix,Press Windows + P to open the display projection menu and select Duplicate or Extend. If still not detected try a different HDMI cable from the cabinet.,1,0.83,not_helpful,False,True,False,general
HW-G-0006,Computer running extremely slow,"Hello, My desktop has been very slow for the past two days. Opening any application takes several minutes and even typing is laggy. Please help.",Hardware & Infrastructure,Medium,HR,step_by_step,Step 1: Open Task Manager and check for high CPU or memory usage. Step 2: Restart the computer. Step 3: Run disk cleanup to free up space. Step 4: Check if antivirus is running a full scan and pause it temporarily. Step 5: If issue persists IT will assess RAM and storage health.,5,0.86,satisfied,False,True,False,general
HW-G-0007,Hard drive making clicking noise,Not sure if this is the right place but my computer hard drive has started making a clicking noise when I open files. I am worried I might lose data.,Hardware & Infrastructure,Critical,HR,step_by_step,Step 1: Immediately back up all important files to the shared network drive. Step 2: Stop using the machine for heavy tasks. Step 3: Escalate to IT immediately — clicking noise indicates imminent drive failure.,3,0.67,escalated,True,False,False,general
HW-G-0008,New laptop setup required,This is really frustrating. I received a new laptop but it has not been set up yet. It needs company software installed and connected to the domain.,Hardware & Infrastructure,Medium,Operations,information,"Raise a new device onboarding request through the IT portal. The setup team will schedule a session within 24 hours to configure the device, install required software, and join it to the company domain.",1,0.87,not_helpful,False,False,False,general
HW-G-0009,Printer not printing,"Hello, The office printer is not printing. I sent a document 20 minutes ago and it is stuck in the queue. Other colleagues are also affected. Please help.",Hardware & Infrastructure,High,HR,step_by_step,Step 1: Open print queue and cancel all pending jobs. Step 2: Restart the printer. Step 3: Restart the print spooler service on your computer. Step 4: Reinstall the printer driver if the issue continues.,4,0.81,satisfied,False,True,False,general
HW-G-0010,Printer not printing,This is really frustrating. The office printer is not printing. I sent a document 20 minutes ago and it is stuck in the queue. Other colleagues are also affected.,Hardware & Infrastructure,High,Finance,step_by_step,Step 1: Open print queue and cancel all pending jobs. Step 2: Restart the printer. Step 3: Restart the print spooler service on your computer. Step 4: Reinstall the printer driver if the issue continues.,4,0.87,satisfied,False,True,False,general
HW-G-0011,Office phone not receiving calls,"Hi team, my desk phone stopped receiving incoming calls since yesterday afternoon. I can make outgoing calls fine.",Hardware & Infrastructure,Medium,Operations,step_by_step,Step 1: Check if Do Not Disturb mode is enabled. Step 2: Unplug the phone and reconnect after 30 seconds. Step 3: Contact the telephony team with your extension number if issue persists.,3,0.88,satisfied,False,False,False,general
HW-G-0012,Monitor not displaying anything,"Hello, I came back from lunch and my monitor is completely black. The computer seems to be on but nothing shows on screen. Please help.",Hardware & Infrastructure,Medium,Marketing,step_by_step,Step 1: Check that the monitor power cable is securely plugged in. Step 2: Check the display cable connection on both ends. Step 3: Press the monitor input select button to cycle through inputs. Step 4: Connect a different monitor to isolate whether issue is the monitor or the GPU.,4,0.84,satisfied,False,True,False,general
HW-G-0013,New laptop setup required,I received a new laptop but it has not been set up yet. It needs company software installed and connected to the domain.,Hardware & Infrastructure,Medium,Finance,information,"Raise a new device onboarding request through the IT portal. The setup team will schedule a session within 24 hours to configure the device, install required software, and join it to the company domain.",1,0.8,not_helpful,False,False,False,general
HW-G-0014,Laptop won't turn on,"Hi team, my laptop stopped turning on this morning. I pressed the power button multiple times but nothing happens. The charging LED is also not lighting up.",Hardware & Infrastructure,Critical,Finance,step_by_step,Step 1: Hold the power button for 30 seconds to drain residual charge. Step 2: Remove battery if removable and reconnect. Step 3: Connect directly to power adapter and try again. Step 4: If still unresponsive escalate to hardware team for inspection.,4,0.87,escalated,True,True,False,general
HW-G-0015,USB drive not recognised,Following up on this issue — when I plug in my USB drive the computer does not detect it. I need the files urgently for a client meeting.,Hardware & Infrastructure,High,IT,step_by_step,Step 1: Try a different USB port. Step 2: Test the USB drive on another computer. Step 3: Open Disk Management to check if drive appears without a letter assigned. Step 4: If not detected anywhere the drive may be faulty.,4,0.46,escalated,True,False,True,general
HW-G-0016,Hard drive making clicking noise,I have been dealing with this for days. My computer hard drive has started making a clicking noise when I open files. I am worried I might lose data.,Hardware & Infrastructure,Critical,Operations,step_by_step,Step 1: Immediately back up all important files to the shared network drive. Step 2: Stop using the machine for heavy tasks. Step 3: Escalate to IT immediately — clicking noise indicates imminent drive failure.,3,0.46,escalated,True,False,False,general
HW-G-0017,Keyboard keys not working,This is really frustrating. Several keys on my keyboard have stopped responding — the number keys and some letters. My keyboard is wired USB.,Hardware & Infrastructure,Medium,Finance,step_by_step,Step 1: Unplug the keyboard and plug into a different USB port. Step 2: Test the keyboard on another computer. Step 3: If confirmed faulty submit a hardware replacement request.,3,0.82,satisfied,False,False,False,general
HW-G-0018,Monitor not displaying anything,"Hi team, i came back from lunch and my monitor is completely black. The computer seems to be on but nothing shows on screen.",Hardware & Infrastructure,Medium,Finance,step_by_step,Step 1: Check that the monitor power cable is securely plugged in. Step 2: Check the display cable connection on both ends. Step 3: Press the monitor input select button to cycle through inputs. Step 4: Connect a different monitor to isolate whether issue is the monitor or the GPU.,4,0.82,satisfied,False,True,False,general
HW-G-0019,Monitor not displaying anything,Not sure if this is the right place but i came back from lunch and my monitor is completely black. The computer seems to be on but nothing shows on screen.,Hardware & Infrastructure,High,Operations,step_by_step,Step 1: Check that the monitor power cable is securely plugged in. Step 2: Check the display cable connection on both ends. Step 3: Press the monitor input select button to cycle through inputs. Step 4: Connect a different monitor to isolate whether issue is the monitor or the GPU.,4,0.88,satisfied,False,True,False,general
HW-G-0020,Hard drive making clicking noise,My computer hard drive has started making a clicking noise when I open files. I am worried I might lose data.,Hardware & Infrastructure,Critical,Marketing,step_by_step,Step 1: Immediately back up all important files to the shared network drive. Step 2: Stop using the machine for heavy tasks. Step 3: Escalate to IT immediately — clicking noise indicates imminent drive failure.,3,0.67,escalated,True,False,False,general
HW-G-0021,Computer running extremely slow,This is really frustrating. My desktop has been very slow for the past two days. Opening any application takes several minutes and even typing is laggy.,Hardware & Infrastructure,Medium,HR,step_by_step,Step 1: Open Task Manager and check for high CPU or memory usage. Step 2: Restart the computer. Step 3: Run disk cleanup to free up space. Step 4: Check if antivirus is running a full scan and pause it temporarily. Step 5: If issue persists IT will assess RAM and storage health.,5,0.9,satisfied,False,True,False,general
HW-G-0022,Keyboard keys not working,"Hello, Several keys on my keyboard have stopped responding — the number keys and some letters. My keyboard is wired USB. Please help.",Hardware & Infrastructure,Low,Operations,step_by_step,Step 1: Unplug the keyboard and plug into a different USB port. Step 2: Test the keyboard on another computer. Step 3: If confirmed faulty submit a hardware replacement request.,3,0.83,not_helpful,False,False,False,general
HW-G-0023,Monitor not displaying anything,I have been dealing with this for days. I came back from lunch and my monitor is completely black. The computer seems to be on but nothing shows on screen.,Hardware & Infrastructure,Medium,Operations,step_by_step,Step 1: Check that the monitor power cable is securely plugged in. Step 2: Check the display cable connection on both ends. Step 3: Press the monitor input select button to cycle through inputs. Step 4: Connect a different monitor to isolate whether issue is the monitor or the GPU.,4,0.82,satisfied,False,True,False,general
HW-G-0024,Printer not printing,I have been dealing with this for days. The office printer is not printing. I sent a document 20 minutes ago and it is stuck in the queue. Other colleagues are also affected.,Hardware & Infrastructure,Medium,HR,step_by_step,Step 1: Open print queue and cancel all pending jobs. Step 2: Restart the printer. Step 3: Restart the print spooler service on your computer. Step 4: Reinstall the printer driver if the issue continues.,4,0.94,satisfied,False,True,False,general
HW-G-0025,USB drive not recognised,This is really frustrating. When I plug in my USB drive the computer does not detect it. I need the files urgently for a client meeting.,Hardware & Infrastructure,Medium,Sales,step_by_step,Step 1: Try a different USB port. Step 2: Test the USB drive on another computer. Step 3: Open Disk Management to check if drive appears without a letter assigned. Step 4: If not detected anywhere the drive may be faulty.,4,0.38,escalated,True,False,True,general
